Performing comparison of pixels in images/star_mask.png in images/StarStrip.png at row: 0 and col: 0, with tolerance = 16.
Msk-Row	Msk-Col	Main-pixel	Mask-pixel	BlkCnt	SumRed	SumGrn	SumBlue
4	19	(60,59,110)	(255,255,255)	0	0	0	0
4	20	(60,59,110)	(255,255,255)	0	0	0	0
4	21	(60,59,110)	(255,255,255)	0	0	0	0
4	22	(60,59,110)	(255,255,255)	0	0	0	0
4	23	(60,59,110)	(255,255,255)	0	0	0	0
4	24	(60,59,110)	(255,255,255)	0	0	0	0
4	25	(60,59,110)	(255,255,255)	0	0	0	0
4	26	(60,59,110)	(255,255,255)	0	0	0	0
4	27	(60,59,110)	(255,255,255)	0	0	0	0
4	28	(60,59,110)	(255,255,255)	0	0	0	0
4	29	(60,59,110)	(255,255,255)	0	0	0	0
4	30	(245,245,248)	(255,255,255)	0	0	0	0
4	31	(255,255,255)	(0,0,0)	1	255	255	255
4	32	(179,179,199)	(0,0,0)	2	434	434	454
4	33	(60,59,110)	(255,255,255)	2	434	434	454
4	34	(60,59,110)	(255,255,255)	2	434	434	454
4	35	(60,59,110)	(255,255,255)	2	434	434	454
4	36	(60,59,110)	(255,255,255)	2	434	434	454
4	37	(60,59,110)	(255,255,255)	2	434	434	454
4	38	(60,59,110)	(255,255,255)	2	434	434	454
4	39	(60,59,110)	(255,255,255)	2	434	434	454
4	40	(60,59,110)	(255,255,255)	2	434	434	454
4	41	(60,59,110)	(255,255,255)	2	434	434	454
4	42	(60,59,110)	(255,255,255)	2	434	434	454
4	43	(60,59,110)	(255,255,255)	2	434	434	454
4	44	(60,59,110)	(255,255,255)	2	434	434	454
4	45	(60,59,110)	(255,255,255)	2	434	434	454
4	46	(60,59,110)	(255,255,255)	2	434	434	454
4	47	(60,59,110)	(255,255,255)	2	434	434	454
4	48	(60,59,110)	(255,255,255)	2	434	434	454
4	49	(60,59,110)	(255,255,255)	2	434	434	454
4	50	(60,59,110)	(255,255,255)	2	434	434	454
4	51	(60,59,110)	(255,255,255)	2	434	434	454
4	52	(60,59,110)	(255,255,255)	2	434	434	454
4	53	(60,59,110)	(255,255,255)	2	434	434	454
4	54	(60,59,110)	(255,255,255)	2	434	434	454
4	55	(60,59,110)	(255,255,255)	2	434	434	454
4	56	(60,59,110)	(255,255,255)	2	434	434	454
4	57	(60,59,110)	(255,255,255)	2	434	434	454
4	58	(60,59,110)	(255,255,255)	2	434	434	454
4	59	(60,59,110)	(255,255,255)	2	434	434	454
4	60	(60,59,110)	(255,255,255)	2	434	434	454
4	61	(60,59,110)	(255,255,255)	2	434	434	454
4	62	(60,59,110)	(255,255,255)	2	434	434	454
Msk-Row	Msk-Col	Main-pixel	Mask-pixel	BlkCnt	SumRed	SumGrn	SumBlue
5	0	(60,59,110)	(255,255,255)	2	434	434	454
5	1	(60,59,110)	(255,255,255)	2	434	434	454
5	2	(60,59,110)	(255,255,255)	2	434	434	454
5	3	(60,59,110)	(255,255,255)	2	434	434	454
5	4	(60,59,110)	(255,255,255)	2	434	434	454
5	5	(60,59,110)	(255,255,255)	2	434	434	454
5	6	(60,59,110)	(255,255,255)	2	434	434	454
5	7	(60,59,110)	(255,255,255)	2	434	434	454
5	8	(60,59,110)	(255,255,255)	2	434	434	454
5	9	(60,59,110)	(255,255,255)	2	434	434	454
5	10	(60,59,110)	(255,255,255)	2	434	434	454
5	11	(60,59,110)	(255,255,255)	2	434	434	454
5	12	(60,59,110)	(255,255,255)	2	434	434	454
5	13	(60,59,110)	(255,255,255)	2	434	434	454
5	14	(60,59,110)	(255,255,255)	2	434	434	454
5	15	(60,59,110)	(255,255,255)	2	434	434	454
5	16	(60,59,110)	(255,255,255)	2	434	434	454
5	17	(60,59,110)	(255,255,255)	2	434	434	454
5	18	(60,59,110)	(255,255,255)	2	434	434	454
5	19	(60,59,110)	(255,255,255)	2	434	434	454
5	20	(60,59,110)	(255,255,255)	2	434	434	454
5	21	(60,59,110)	(255,255,255)	2	434	434	454
5	22	(60,59,110)	(255,255,255)	2	434	434	454
5	23	(60,59,110)	(255,255,255)	2	434	434	454
5	24	(60,59,110)	(255,255,255)	2	434	434	454
5	25	(60,59,110)	(255,255,255)	2	434	434	454
5	26	(60,59,110)	(255,255,255)	2	434	434	454
5	27	(60,59,110)	(255,255,255)	2	434	434	454
5	28	(60,59,110)	(255,255,255)	2	434	434	454
5	29	(120,119,154)	(255,255,255)	2	434	434	454
5	30	(255,255,255)	(255,255,255)	2	434	434	454
5	31	(255,255,255)	(0,0,0)	3	689	689	709
5	32	(240,240,244)	(0,0,0)	4	929	929	953
5	33	(60,59,110)	(255,255,255)	4	929	929	953
5	34	(60,59,110)	(255,255,255)	4	929	929	953
5	35	(60,59,110)	(255,255,255)	4	929	929	953
5	36	(60,59,110)	(255,255,255)	4	929	929	953
5	37	(60,59,110)	(255,255,255)	4	929	929	953
5	38	(60,59,110)	(255,255,255)	4	929	929	953
5	39	(60,59,110)	(255,255,255)	4	929	929	953
5	40	(60,59,110)	(255,255,255)	4	929	929	953
5	41	(60,59,110)	(255,255,255)	4	929	929	953
5	42	(60,59,110)	(255,255,255)	4	929	929	953
5	43	(60,59,110)	(255,255,255)	4	929	929	953
5	44	(60,59,110)	(255,255,255)	4	929	929	953
5	45	(60,59,110)	(255,255,255)	4	929	929	953
5	46	(60,59,110)	(255,255,255)	4	929	929	953
5	47	(60,59,110)	(255,255,255)	4	929	929	953
5	48	(60,59,110)	(255,255,255)	4	929	929	953
5	49	(60,59,110)	(255,255,255)	4	929	929	953
5	50	(60,59,110)	(255,255,255)	4	929	929	953
5	51	(60,59,110)	(255,255,255)	4	929	929	953
5	52	(60,59,110)	(255,255,255)	4	929	929	953
5	53	(60,59,110)	(255,255,255)	4	929	929	953
5	54	(60,59,110)	(255,255,255)	4	929	929	953
5	55	(60,59,110)	(255,255,255)	4	929	929	953
5	56	(60,59,110)	(255,255,255)	4	929	929	953
5	57	(60,59,110)	(255,255,255)	4	929	929	953
5	58	(60,59,110)	(255,255,255)	4	929	929	953
5	59	(60,59,110)	(255,255,255)	4	929	929	953
5	60	(60,59,110)	(255,255,255)	4	929	929	953
5	61	(60,59,110)	(255,255,255)	4	929	929	953
5	62	(60,59,110)	(255,255,255)	4	929	929	953
Msk-Row	Msk-Col	Main-pixel	Mask-pixel	BlkCnt	SumRed	SumGrn	SumBlue
6	0	(60,59,110)	(255,255,255)	4	929	929	953
6	1	(60,59,110)	(255,255,255)	4	929	929	953
6	2	(60,59,110)	(255,255,255)	4	929	929	953
6	3	(60,59,110)	(255,255,255)	4	929	929	953
6	4	(60,59,110)	(255,255,255)	4	929	929	953
6	5	(60,59,110)	(255,255,255)	4	929	929	953
6	6	(60,59,110)	(255,255,255)	4	929	929	953
6	7	(60,59,110)	(255,255,255)	4	929	929	953
6	8	(60,59,110)	(255,255,255)	4	929	929	953
6	9	(60,59,110)	(255,255,255)	4	929	929	953
6	10	(60,59,110)	(255,255,255)	4	929	929	953
6	11	(60,59,110)	(255,255,255)	4	929	929	953
6	12	(60,59,110)	(255,255,255)	4	929	929	953
6	13	(60,59,110)	(255,255,255)	4	929	929	953
6	14	(60,59,110)	(255,255,255)	4	929	929	953
6	15	(60,59,110)	(255,255,255)	4	929	929	953
6	16	(60,59,110)	(255,255,255)	4	929	929	953
6	17	(60,59,110)	(255,255,255)	4	929	929	953
6	18	(60,59,110)	(255,255,255)	4	929	929	953
6	19	(60,59,110)	(255,255,255)	4	929	929	953
6	20	(60,59,110)	(255,255,255)	4	929	929	953
6	21	(60,59,110)	(255,255,255)	4	929	929	953
6	22	(60,59,110)	(255,255,255)	4	929	929	953
6	23	(60,59,110)	(255,255,255)	4	929	929	953
6	24	(60,59,110)	(255,255,255)	4	929	929	953
6	25	(60,59,110)	(255,255,255)	4	929	929	953
6	26	(60,59,110)	(255,255,255)	4	929	929	953
6	27	(60,59,110)	(255,255,255)	4	929	929	953
6	28	(60,59,110)	(255,255,255)	4	929	929	953
6	29	(182,182,201)	(255,255,255)	4	929	929	953
6	30	(255,255,255)	(255,255,255)	4	929	929	953
6	31	(255,255,255)	(0,0,0)	5	1184	1184	1208
6	32	(255,255,255)	(0,0,0)	6	1439	1439	1463
6	33	(111,110,148)	(255,255,255)	6	1439	1439	1463
6	34	(60,59,110)	(255,255,255)	6	1439	1439	1463
6	35	(60,59,110)	(255,255,255)	6	1439	1439	1463
6	36	(60,59,110)	(255,255,255)	6	1439	1439	1463
6	37	(60,59,110)	(255,255,255)	6	1439	1439	1463
6	38	(60,59,110)	(255,255,255)	6	1439	1439	1463
6	39	(60,59,110)	(255,255,255)	6	1439	1439	1463
6	40	(60,59,110)	(255,255,255)	6	1439	1439	1463
6	41	(60,59,110)	(255,255,255)	6	1439	1439	1463
6	42	(60,59,110)	(255,255,255)	6	1439	1439	1463
6	43	(60,59,110)	(255,255,255)	6	1439	1439	1463
6	44	(60,59,110)	(255,255,255)	6	1439	1439	1463
6	45	(60,59,110)	(255,255,255)	6	1439	1439	1463
6	46	(60,59,110)	(255,255,255)	6	1439	1439	1463
6	47	(60,59,110)	(255,255,255)	6	1439	1439	1463
6	48	(60,59,110)	(255,255,255)	6	1439	1439	1463
6	49	(60,59,110)	(255,255,255)	6	1439	1439	1463
6	50	(60,59,110)	(255,255,255)	6	1439	1439	1463
6	51	(60,59,110)	(255,255,255)	6	1439	1439	1463
6	52	(60,59,110)	(255,255,255)	6	1439	1439	1463
6	53	(60,59,110)	(255,255,255)	6	1439	1439	1463
6	54	(60,59,110)	(255,255,255)	6	1439	1439	1463
6	55	(60,59,110)	(255,255,255)	6	1439	1439	1463
6	56	(60,59,110)	(255,255,255)	6	1439	1439	1463
6	57	(60,59,110)	(255,255,255)	6	1439	1439	1463
6	58	(60,59,110)	(255,255,255)	6	1439	1439	1463
6	59	(60,59,110)	(255,255,255)	6	1439	1439	1463
6	60	(60,59,110)	(255,255,255)	6	1439	1439	1463
6	61	(60,59,110)	(255,255,255)	6	1439	1439	1463
6	62	(60,59,110)	(255,255,255)	6	1439	1439	1463
Msk-Row	Msk-Col	Main-pixel	Mask-pixel	BlkCnt	SumRed	SumGrn	SumBlue
7	0	(60,59,110)	(255,255,255)	6	1439	1439	1463
7	1	(60,59,110)	(255,255,255)	6	1439	1439	1463
7	2	(60,59,110)	(255,255,255)	6	1439	1439	1463
7	3	(60,59,110)	(255,255,255)	6	1439	1439	1463
7	4	(60,59,110)	(255,255,255)	6	1439	1439	1463
7	5	(60,59,110)	(255,255,255)	6	1439	1439	1463
7	6	(60,59,110)	(255,255,255)	6	1439	1439	1463
7	7	(60,59,110)	(255,255,255)	6	1439	1439	1463
7	8	(60,59,110)	(255,255,255)	6	1439	1439	1463
7	9	(60,59,110)	(255,255,255)	6	1439	1439	1463
7	10	(60,59,110)	(255,255,255)	6	1439	1439	1463
7	11	(60,59,110)	(255,255,255)	6	1439	1439	1463
7	12	(60,59,110)	(255,255,255)	6	1439	1439	1463
7	13	(60,59,110)	(255,255,255)	6	1439	1439	1463
7	14	(60,59,110)	(255,255,255)	6	1439	1439	1463
7	15	(60,59,110)	(255,255,255)	6	1439	1439	1463
7	16	(60,59,110)	(255,255,255)	6	1439	1439	1463
7	17	(60,59,110)	(255,255,255)	6	1439	1439	1463
7	18	(60,59,110)	(255,255,255)	6	1439	1439	1463
7	19	(60,59,110)	(255,255,255)	6	1439	1439	1463
7	20	(60,59,110)	(255,255,255)	6	1439	1439	1463
7	21	(60,59,110)	(255,255,255)	6	1439	1439	1463
7	22	(60,59,110)	(255,255,255)	6	1439	1439	1463
7	23	(60,59,110)	(255,255,255)	6	1439	1439	1463
